Time [s],Packet ID,MOSI,MISO
0.681771200000000,0,0x20,0x0E
0.681797040000000,0,0x0C,0x00
0.681831320000000,1,0x21,0x0E
0.681857160000000,1,0x00,0x00
0.681900520000000,2,0x22,0x0E
0.681926360000000,2,0x3F,0x00
0.681960640000000,3,0x23,0x0E
0.681986480000000,3,0x03,0x00
0.682020760000000,4,0x24,0x0E
0.682046600000000,4,0xFF,0x00
0.682080840000000,5,0x25,0x0E
0.682106720000000,5,0x08,0x00
0.682150080000000,6,0x26,0x0E
0.682175920000000,6,0x05,0x00
0.682210160000000,7,0x27,0x0E
0.682236040000000,7,0x70,0x00
0.682270280000000,8,0x28,0x0E
0.682296160000000,8,0x00,0x00
0.682330400000000,9,0x29,0x0E
0.682356280000000,9,0x00,0x00
0.682399640000000,10,0x2C,0x0E
0.682425480000000,10,0xC3,0x00
0.682459760000000,11,0x2D,0x0E
0.682485640000000,11,0xC4,0x00
0.682519880000000,12,0x2E,0x0E
0.682545760000000,12,0xC5,0x00
0.682580040000000,13,0x2F,0x0E
0.682605880000000,13,0xC6,0x00
0.682649240000000,14,0x31,0x0E
0.682675120000000,14,0x10,0x00
0.682709360000000,15,0x32,0x0E
0.682735200000000,15,0x10,0x00
0.682769480000000,16,0x33,0x0E
0.682795360000000,16,0x10,0x00
0.682829600000000,17,0x34,0x0E
0.682855480000000,17,0x10,0x00
0.682898800000000,18,0x35,0x0E
0.682924680000000,18,0x10,0x00
0.682958960000000,19,0x36,0x0E
0.682984800000000,19,0x10,0x00
0.683019080000000,20,0x37,0x0E
0.683044960000000,20,0x00,0x00
0.683075480000000,21,0x2A,0x0E
0.683107920000000,21,0x6D,0x00
0.683148240000000,21,0x6A,0x00
0.683179480000000,21,0x73,0x00
0.683210680000000,21,0x73,0x00
0.683241920000000,21,0x73,0x00
0.683272960000000,22,0x2B,0x0E
0.683305400000000,22,0x6A,0x00
0.683336640000000,22,0x6D,0x00
0.683367840000000,22,0x37,0x00
0.683408160000000,22,0x37,0x00
0.683439400000000,22,0x37,0x00
0.683470440000000,23,0x30,0x0E
0.683502880000000,23,0x6D,0x00
0.683534120000000,23,0x6A,0x00
0.683565320000000,23,0x73,0x00
0.683596560000000,23,0x73,0x00
0.683636880000000,23,0x73,0x00
0.683666640000000,24,0x07,0x0E
0.683692520000000,24,0x00,0x0E
0.683723720000000,25,0x50,0x0E
0.683749600000000,25,0x53,0x00
0.683782240000000,26,0x20,0x8E
0.683817040000000,26,0x40,0x00
0.683850000000000,26,0x4B,0x00
0.683892120000000,26,0x01,0x00
0.683925120000000,26,0xE2,0x00
0.683960960000000,27,0x21,0x8E
0.683995760000000,27,0xC0,0x00
0.684028760000000,27,0x4B,0x00
0.684061760000000,27,0x00,0x00
0.684094760000000,27,0x00,0x00
0.684139720000000,28,0x22,0x8E
0.684174480000000,28,0xD0,0x00
0.684207480000000,28,0xFC,0x00
0.684240480000000,28,0x8C,0x00
0.684273480000000,28,0x02,0x00
0.684309360000000,29,0x23,0x8E
0.684344120000000,29,0xF9,0x00
0.684386200000000,29,0x00,0x00
0.684419200000000,29,0x39,0x00
0.684452200000000,29,0x21,0x00
0.684488080000000,30,0x24,0x8E
0.684522840000000,30,0xC1,0x00
0.684555840000000,30,0x96,0x00
0.684588840000000,30,0x9A,0x00
0.684621840000000,30,0x1B,0x00
0.684666800000000,31,0x25,0x8E
0.684701600000000,31,0x24,0x00
0.684734600000000,31,0x06,0x00
0.684767600000000,31,0x7F,0x00
0.684800600000000,31,0xA6,0x00
0.684836440000000,32,0x26,0x8E
0.684871240000000,32,0x00,0x00
0.684914760000000,32,0x00,0x00
0.684947720000000,32,0x00,0x00
0.684980720000000,32,0x00,0x00
0.685016600000000,33,0x27,0x8E
0.685051360000000,33,0x00,0x00
0.685084360000000,33,0x00,0x00
0.685117360000000,33,0x00,0x00
0.685159480000000,33,0x00,0x00
0.685195360000000,34,0x28,0x8E
0.685230120000000,34,0x00,0x00
0.685263120000000,34,0x00,0x00
0.685296120000000,34,0x00,0x00
0.685329160000000,34,0x00,0x00
0.685365000000000,35,0x29,0x8E
0.685408920000000,35,0x00,0x00
0.685441920000000,35,0x00,0x00
0.685474920000000,35,0x00,0x00
0.685507920000000,35,0x00,0x00
0.685543800000000,36,0x2A,0x8E
0.685578560000000,36,0x00,0x00
0.685611600000000,36,0x00,0x00
0.685653680000000,36,0x00,0x00
