time, ID, MOSI, MISO
4.898089120000000,1641,0xE1|0x00,0x0E|0x0E
4.898145320000000,1642,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.901876560000000,1643,0x07|0x00,0x2E|0x2E
4.901933120000000,1644,0x27|0x2E,0x2E|0x00
4.902007480000000,1645,0x25|0x22,0x0E|0x00
4.902060120000000,1646,0xE1|0x00,0x0E|0x0E
4.902116320000000,1647,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.905944520000000,1648,0x07|0x00,0x2E|0x2E
4.906010520000000,1649,0x27|0x2E,0x2E|0x00
4.906076880000000,1650,0x25|0x2E,0x0E|0x00
4.906129520000000,1651,0xE1|0x00,0x0E|0x0E
4.906185720000000,1652,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.910841840000000,1653,0x27|0x2E,0x2E|0x00
4.910906800000000,1654,0x25|0x2E,0x0E|0x00
4.910959400000000,1655,0xE1|0x00,0x0E|0x0E
4.911025080000000,1656,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.913951320000000,1657,0x07|0x00,0x2E|0x2E
4.914017320000000,1658,0x27|0x2E,0x2E|0x00
4.914083680000000,1659,0x25|0x36,0x0E|0x00
4.914136320000000,1660,0xE1|0x00,0x0E|0x0E
